id,country_id,name
4E5P,BE,Genossenschaft mit unbeschränkter Haftung mit sozialer Zielsetzung
7SJP,BE,Europees economisch samenwerkingsverband
7SJP,BE,Groupement européen d'intérêt économique
7SJP,BE,Europäische wirtschaftliche Interessenvereinigung
8E2A,BE,Coöperatieve vennootschap met beperkte aansprakelijkheid
8E2A,BE,Société coopérative à responsabilité limitée
8E2A,BE,Genossenschaft mit beschränkter Haftung
8YLB,BE,Instelling zonder winstoogmerk
8YLB,BE,Institution sans but lucratif
8YLB,BE,Einrichtung ohne Gewinnerzielungsabsicht
B910,BE,Vennootschap onder firma met een sociaal oogmerk
B910,BE,Société en nom collectif à finalité sociale
B910,BE,Offene Handelsgesellschaft mit sozialer Zielsetzung
C609,BE,Eenpersoons besloten vennootschap met beperkte aansprakelijkheid
C609,BE,Société privée à responsabilité limitée unipersonnelle
C609,BE,Privatgesellschaft mit beschränkter Haftung mit einem Alleingesellschafter
CFH5,BE,Vennootschap of vereniging zonder rechtspersoonlijkheid
CFH5,BE,Société ou association sans personnalité juridique
CFH5,BE,Gesellschaften oder Vereinigungen ohne Rechtspersönlichkeit
EDMK,BE,Vereniging zonder winstoogmerk van publiek recht
EDMK,BE,Association sans but lucratif de droit public
EDMK,BE,Öffentlich-rechtliche Vereinigung ohne Gewinnerzielungsabsicht
EXY8,BE,"Coöperatieve vennootschap met onbeperkte aansprakelijkheid, bij wijze van deelneming van publiek recht"
EXY8,BE,"Coopérative à responsabilité illimitée, coopérative de participation, de droit public"
EXY8,BE,"Öffentlich-rechtliche Genossenschaft mit unbeschränkter Haftung, Genossenschaft auf Beteiligung"
J5OU,BE,Economisch samenwerkingsverband
J5OU,BE,Groupement d'intérêt économique
J5OU,BE,Wirtschaftliche Interessenvereinigung
JAM3,BE,Coöperatieve vennootschap van publiek recht
JAM3,BE,Société coopérative de droit public
JAM3,BE,Öffentlich-rechtliche Genossenschaft
JNAD,BE,Besloten vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk
JNAD,BE,Société privée à responsabilité limitée à finalité sociale
JNAD,BE,Privatgesellschaft mit beschränkter Haftung mit sozialer Zielsetzung
KLBO,BE,Burgerlijke vennootschap onder vorm van commanditaire vennootschap op aandelen
KLBO,BE,Société civile sous forme de société en commandite par actions
KLBO,BE,Zivilrechtliche Gesellschaft in der Rechtsform einer Kommanditgesellschaft auf Aktien
KM6O,BE,Maatschap
KM6O,BE,Société de droit commun
KM6O,BE,Gesellschaft des allgemeinen Rechts
L05H,BE,Besloten Vennootschap van publiek recht
L05H,BE,Société à responsabilité limitée de droit public
L05H,BE,Öffentlich-rechtliche Gesellschaft mit beschränkter Haftung
LWHF,BE,Coöperatieve vennootschap met onbeperkte aansprakelijkheid
LWHF,BE,Société coopérative à responsabilité illimitée
LWHF,BE,Genossenschaft mit unbeschränkter Haftung
LWV6,BE,Gewone commanditaire vennootschap
LWV6,BE,Société en commandite simple
LWV6,BE,Einfache Kommanditgesellschaft
MQH3,BE,Commanditaire vennootschap
MQH3,BE,Société en commandite
MQH3,BE,Kommanditgesellschaft
N5NT,BE,Besloten vennootschap met beperkte aansprakelijkheid
N5NT,BE,Société privée à responsabilité limitée
N5NT,BE,Privatgesellschaft mit beschränkter Haftung
O59C,BE,Economisch samenwerkingsverband met een sociaal oogmerk
O59C,BE,Groupement d'intérêt économique à finalité sociale
O59C,BE,Wirtschaftliche Interessenvereinigung mit sozialer Zielsetzung
O5HQ,BE,Burgerlijke vennootschap onder vorm van coöperatieve vennootschap met beperkte aansprakelijkheid
O5HQ,BE,Société civile sous forme de société coopérative à responsabilité limitée
O5HQ,BE,Zivilrechtliche Gesellschaft in der Rechtsform einer Genossenschaft mit beschränkter Haftung
PVT3,BE,Eenpersoons besloten vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk
PVT3,BE,Société privée à responsabilité limitée unipersonnelle à finalité sociale
PVT3,BE,Privatgesellschaft mit beschränkter Haftung mit sozialer Zielsetzung mit einem Alleingesellschafter
QZIS,BE,Openbare instelling
QZIS,BE,Etablissement public
QZIS,BE,Öffentliche Einrichtung
R85P,BE,Naamloze vennootschap
R85P,BE,Société anonyme
R85P,BE,Aktiengesellschaft
T922,BE,Burgerlijke vennootschap onder vorm van gewone commanditaire vennootschap
T922,BE,Société civile sous forme de société en commandite simple
T922,BE,Zivilrechtliche Gesellschaft in der Rechtsform einer einfachen Kommanditgesellschaft
TPTU,BE,Naamloze vennootschap van publiek recht
TPTU,BE,Société anonyme de droit public
TPTU,BE,Öffentlich-rechtliche Aktiengesellschaft
U2PN,BE,Commanditaire vennootschap op aandelen
U2PN,BE,Société en commandite par actions
U2PN,BE,Kommanditgesellschaft auf Aktien
U5KF,BE,Burgerlijke vennootschap onder vorm van vennootschap onder firma
U5KF,BE,Société civile sous forme de société en nom collectif
U5KF,BE,Zivilrechtliche Gesellschaft in der Rechtsform einer offenen Handelsgesellschaft
UCT9,BE,Burgerlijke Vennootschap onder vorm van Landbouwvennootschap (BV LV)
UCT9,BE,Société civile sous forme de société agricole
UCT9,BE,Zivilrechtliche Gesellschaft in der Rechtsform einer landwirtschaftlichen Gesellschaft
UW1Y,BE,Vennootschap onder firma
UW1Y,BE,Société en nom collectif
UW1Y,BE,Offene Handelsgesellschaft
V03J,BE,Internationale vereniging zonder winstoogmerk
V03J,BE,Association internationale sans but lucratif
V03J,BE,Internationale Vereinigung ohne Gewinnerzielungsabsicht
V7FT,BE,Naamloze vennootschap met een sociaal oogmerk
V7FT,BE,Société anonyme à finalité sociale
V7FT,BE,Aktiengesellschaft mit sozialer Zielsetzung
V8L7,BE,Burgerlijke vennootschap onder vorm van besloten vennootschap met beperkte aansprakelijkheid
V8L7,BE,Société civile sous forme de société privée à responsabilité limitée
V8L7,BE,Zivilrechtliche Gesellschaft in der Rechtsform einer Privatgesellschaft mit beschränkter Haftung
W3WH,BE,Vereniging zonder winstoogmerk
W3WH,BE,Association sans but lucratif
W3WH,BE,Vereinigung ohne Gewinnerzielungsabsicht
WTLP,BE,Burgerlijke vennootschap onder vorm van coöperatieve vennootschap met onbeperkte aansprakelijkheid
WTLP,BE,Société civile sous forme de société coopérative à responsabilité illimitée
WTLP,BE,Zivilrechtliche Gesellschaft in der Rechtsform einer Genossenschaft mit unbeschränkter Haftung
X8ZK,BE,Coöperatieve vennootschap met beperkte aansprakelijkheid van publiek recht
X8ZK,BE,Société coopérative à responsabilité limitée de droit public
X8ZK,BE,Öffentlich-rechtliche Genossenschaft mit beschränkter Haftung
XLEO,BE,Gewone commanditaire vennootschap met een sociaal oogmerk
XLEO,BE,Société en commandite simple à finalité sociale
XLEO,BE,Einfache Kommanditgesellschaft mit sozialer Zielsetzung
XQZX,BE,Burgerlijke vennootschap onder vorm van naamloze vennootschap
XQZX,BE,Société civile sous forme de société anonyme
XQZX,BE,Zivilrechtliche Gesellschaft in der Rechtsform einer Aktiengesellschaft
Y1Q4,BE,Private stichting
Y1Q4,BE,Fondation privée
Y1Q4,BE,Privatstiftung
YBHM,BE,Europese Coöperatieve Vennootschap
YBHM,BE,Société coopérative européenne
YBHM,BE,Europäische Genossenschaft
ZOK2,BE,Landbouwvennootschap
ZOK2,BE,Société agricole
ZOK2,BE,Landwirtschaftliche Gesellschaft
ZSFX,BE,Naamloze vennootschap met een sociaal oogmerk
ZSFX,BE,Société anonyme à finalité sociale
ZSFX,BE,Aktiengesellschaft mit sozialer Zielsetzung
ZUHK,BE,Stichting van openbaar nut
ZUHK,BE,Fondation d'utilité publique
ZUHK,BE,Gemeinnützige Stiftung
84DD,BZ,International Business Company
AO0O,BZ,Unlimited Company
D1SL,BZ,Partnership
EAD0,BZ,Company Limited by Shares
GJKF,BZ,Association
ZHT0,BZ,Company Limited by Guarantee
7AS7,BM,Exempted Companies Limited by Shares
7HCE,BM,Exempted LLC
7MGJ,BM,Exempted Limited Partnership
9TCY,BM,Mutual Company (Part XII)
ASR5,BM,Exempted Partnership
CW38,BM,Local Company Limited by Guarantee
EURM,BM,Local Unlimited Company
LC2L,BM,Exempted Company Limited by Guarantee
MBVS,BM,Exempted Unlimited Company
NAQG,BM,Local Company Limited by Shares
UZWE,BM,Local LLC
VFXJ,BM,Mutual Fund Company
WF3Q,BM,Permit (Overseas) Company
ZLTD,BM,Overseas (Permit) Partnership
38JQ,BO,Empresa Unipersonal
5T3W,BO,Sociedad Anónima
70BS,BO,Empresa Estatal 
DSML,BO,Institución Financiera De Desarrollo   
JYAN,BO,Empresa Estatal Intergubernamental     
LJYQ,BO,Sociedad Anónima Mixta                 
LN9O,BO,Entidad Financiera De Vivienda
MGOU,BO,Empresa Mixta                         
PJ29,BO,Sociedad en Comandita por Acciones. 
PM48,BO,Sociedad de Responsabilidad Limitada.
RXJN,BO,Empresa Estatal Mixta                  
TNHO,BO,Sociedad Colectiva
XTCQ,BO,Sociedad en Comandita Simple.
1A0A,BQ,Besloten vennootschap
3Y5C,BQ,Besloten vennootschap naar Nederlands recht
4S4Z,BQ,Commanditaire vennootschap met meerdere beherende vennoten
4ZBE,BQ,Maatschap
51WZ,BQ,Vereniging met beperkte rechtsbevoegdheid
56MU,BQ,Aandeelhouder bestuurde Besloten vennootschap
92JZ,BQ,Stichting
AS4W,BQ,Stichting particulier fonds
B2UK,BQ,Nevenvestiging met hoofdvestiging buiten bonaire
DQMJ,BQ,Naamloze vennootschap
FCPM,BQ,Vereniging met volledige rechtsbevoegdheid
IPTQ,BQ,Eenmanszaak met meerdere eigenaren
JFQ5,BQ,Buitenlandse rechtsvorm hoofdvestiging op Bonaire
KSHL,BQ,Commanditaire vennootschap op aandelen
NPFB,BQ,Eenmanszaak
SNRI,BQ,Vennootschap onder Firma
VHIY,BQ,Cooperatie
X088,BQ,Vereniging zonder rechtsbevoegdheid
XL51,BQ,Commanditaire vennootschap met één beherend vennoot
4IXL,BW,Close Companies 
771I,BW,Private Limited Liability Companies
QK1F,BW,Public Limited Liability Companies
Y2L3,BW,Companies limited by Guarantee
4LKN,BR,Empresa Pública
529B,BR,Sociedade em Nome Coletivo
8GEA,BR,Sociedade Simples
9BIS,BR,Organização Religiosa
ANHM,BR,Partido Político
I4T1,BR,Fundação
J7G9,BR,Associação
OB5J,BR,Empresa Individual de Responsabilidade Limitada
PC5A,BR,Sociedade Cooperativa
QHW1,BR,Sociedade Limitada
WBEC,BR,Sociedade em Comdandita Simples
X0SD,BR,Sociedade Anônima
X0SD,BR,Companhia
X2ZT,BR,Sociedade em Comandita por Ações
XQRI,BR,Sociedade em Conta de Participação
2DGO,BN,Public Company
EULU,BN,Private Limited Company
3FUP,BG,Evropeysko kooperativno druzhestvo s ogranichena otgovornost
3HLJ,BG,Podelenie na evropeysko obedinenie po ikonomicheski interesi
3SHX,BG,Sdruzhenie v obshtestvena polza
45D7,BG,Klon na chuzhdestranen targovets
946C,BG,Ednolichen targovets
9F78,BG,Chuzhdestranno druzhestvo - fizichesko litse
CTCH,BG,Kooperatsia
EJ06,BG,Ednolichno aktsionerno druzhestvo
FPP2,BG,Sabiratelno druzhestvo (SD)/Sadruzhie
HN63,BG,Komanditno druzhestvo s aktsii
LECS,BG,Sdruzhenie v chastna polza
O15N,BG,Chuzhdestranno druzhestvo - yuridichesko litse
PW3Y,BG,Aktsionerno druzhestvo sas spetsialna investitsionna tsel
QZAU,BG,Ednolichno aktsionerno druzhestvo sas spetsialna investitsionna tsel
RYDY,BG,Evropeysko obedinenie po ikonomicheski interesi
S94S,BG,Komanditno druzhestvo
SZW0,BG,Evropeysko druzhestvo
TCGV,BG,Druzhestvo uchredeno po Zakona za zadalzheniyata i dogovorite
U8LM,BG,Evropeysko kooperativno druzhestvo
UFG8,BG,Fondatsia
VJ3G,BG,Druzhestvo s ogranichena otgovornost
WTK4,BG,Aktsionerno druzhestvo
WVIN,BG,Ednolichno druzhestvo s ogranichena otgovornost
15BP,KH,Private Limited Company
15BP,KH,kromhoun ekachn ttuolkhosatrauv meanokamrit
BQ0P,KH,Public Limited Company
BQ0P,KH,kromhoun mhachn ttuolkhosatrauv meanokamrit
D3UY,KH,Limited Partnership
D3UY,KH,kromhoun sahakammosetthi meanokamrit
KD84,KH,Sole Proprietorship
KD84,KH,sahakreasa​ ekbokkol
Z4YC,KH,General Partnership
Z4YC,KH,kromhoun sahakammosetthi toutow
ZCFU,KH,Foreign Company
ZCFU,KH,kromhoun bartes
1EQC,CA,trade name/sole proprietorship
60MF,CA,Alberta trust corporation
8ZH8,CA,Alberta Business Corporation
94UQ,CA,public recreation company
B69V,CA,Alberta private non-profit company
BASA,CA,Alberta cooperative
BH5D,CA,rural utility cooperative
C9KZ,CA,Alberta professional corporation
DK7L,CA,Alberta loan corporation
G65S,CA,Alberta credit union
J3C5,CA,Alberta unlimited liability corporation
K1QX,CA,Alberta society
KVC1,CA,general partnership
PXPK,CA,private recreation company
R0KX,CA,private act corporation
RHVP,CA,private act non-profit corp
RN4K,CA,Alberta limited partnership
TRO6,CA,agricultural society
TS9O,CA,religious society
U938,CA,Alberta limited liability partnership
VHXN,CA,public non-profit company
1CML,CA,Sole proprietorship
23V9,CA,Limited partnership
AW80,CA,Association (includes housing cooperative and community service cooperative)
F9J3,CA,Limited partnership formed outside of BC
HLBQ,CA,Pension fund society
LNBY,CA,Limited liability partnership
LRRN,CA,Mutual fire insurance company
O13B,CA,General partnership
OTU7,CA,Extraprovincial non-share corporation
QODJ,CA,Extraprovincial limited liability partnership
S3K4,CA,Registered extraprovincial non-share corporation
TGLV,CA,Extraprovincial corporation (registered foreign entity)
WFPH,CA,Society (includes member-funded society)
XOYI,CA,Credit union
YG5M,CA,Company (includes community contribution company and unlimited liability company)
59T2,CA,board of trade
59T2,CA,chambre de commerce
6TRA,CA,corporations enacted by an Act of Parliament
6TRA,CA,corporation constituée par une loi du Parlement
D90J,CA,corporation without share capital
D90J,CA,organisation sans capital-actions
M4IF,CA,pension fund society
M4IF,CA,société de caisse de retraite
MGE0,CA,cooperative
MGE0,CA,coopérative
UDLA,CA,business corporation
UDLA,CA,société par actions
5ONY,CA,Religious Society
9D1K,CA,non-share corporations
FN6X,CA,Share corporations (including professional corporations)
G9PJ,CA,"Limited Liability Partnership (Manitoba and Extra-provincial, lawyers and accountants only)"
GM04,CA,Cooperative
HBCT,CA,Ukrainian Catholic Parish
LV28,CA,Condominium Corporation
MXLT,CA,Sole Proprietorship
OPRT,CA,Limited Partnership
RBBY,CA,Partnership
SS1V,CA,registration of extra-provincial corporations
Y485,CA,Credit union or Caisse Populaire
3Q15,CA,partnership
3Q15,CA,société en nom collectif
40JO,CA,société en commandite
44LR,CA,corporation professionnelle
44LR,CA,professional corporation
4M62,CA,compagnie de prêt
4M62,CA,loan company
56KZ,CA,agricultural fair association
64XG,CA,association coopérative
6U2Q,CA,condominium corporation
6U2Q,CA,association condominiale
7P8Y,CA,limited partnership
7P8Y,CA,société en commandite
8MEC,CA,société à responsabilité limitée du Nouveau-Brunswick
8MEC,CA,New Brunswick limited liability partnership
AXW3,CA,selon la loi de la Législature
AXW3,CA,depends on Act of the Legislature
B3RX,CA,corporation
B3RX,CA,corporation
D8UQ,CA,professional corporation
DHGI,CA,project company
DHGI,CA,gérant de projet
EKRT,CA,loan company
EPFN,CA,New Brunswick limited liability partnership
FGSL,CA,association condominiale
GF6X,CA,business name - sole proprietor
GF6X,CA,appellation commerciale - propriétaire unique
GLX2,CA,agricultural society
GPG0,CA,compagnie
IDBS,CA,compagnie de fiducie
IKMB,CA,co-operative association
IKMB,CA,association coopérative
IKSU,CA,société en nom collectif
ILON,CA,caisse populaire
JBBW,CA,company
JBBW,CA,compagnie
M53U,CA,depends on Act of the Legislature
MY4W,CA,credit union
MY4W,CA,caisse populaire
NONB,CA,corporation
QJ3A,CA,gérant de projet
QNSC,CA,personne morale étrangère résidante
QNSC,CA,foreign resident corporation
TSQ7,CA,association de foires agricoles
TSQ7,CA,agricultural fair association
WI0P,CA,société agricole
WI0P,CA,agricultural society
ZACY,CA,trust company
ZACY,CA,compagnie de fiducie
ZY4E,CA,appellation commerciale - propriétaire unique
1E9M,CA,Limited Partnership
3Y5V,CA,co-operatives
ASWX,CA,share corporations
EBYQ,CA,Credit Union
ER0H,CA,registration of extra-provincial corporations
GTBR,CA,Condominium Corporation
IKGM,CA,non-share corporations
SYPT,CA,Limited Liability Partnership
1ADH,CA,Extra-Territorial Corporation(for profit and not-for-profit)
85EC,CA,Limited Liability partnership
CS15,CA,NT society
KAM9,CA,co-operative
PIDT,CA,NT corporation
QN8Y,CA,NT Professional Corporation authorized under the Professional Corporations Act
QR4F,CA,business name/sole proprietorship
TA98,CA,Limited partnership
TPZ2,CA,private act corporation
VAPN,CA,general partnership
W126,CA,private act not-for-profit corporation
2FHC,CA,partnerships
3M14,CA,A company formed under the Companies Act may seek designation as a Community Interest Company (a hybrid structure having characteristics of both for profit and non-profit entities)
42GN,CA,unlimited company
876U,CA,Credit Unions
8M03,CA,Condominiums
8OZ0,CA,limited liability partnerships
9XHE,CA,business names
FQJ9,CA,for profit and not-for profit co-operatives
GG0S,CA,company limited by guarantee
T0CV,CA,limited partnerships formed in NS
TY0S,CA,A company formed under the Companies Act may seek designation as a Private Investment Holding Company
ULJ1,CA,company limited by shares (limited company)
W8XG,CA,sole proprietors
Y80K,CA,Non-profit Corporations
1JGX,CA,Limited Partnership
456Q,CA,business name/sole proprietorship
7VKC,CA,Condominium Corporation
BOYK,CA,Corporations formed by an Act of the Ontario Legislative Assembly
CMB6,CA,Not-For-Profit corporations
EIDL,CA,Insurance Corporations incorporated under Part V of the Corporations Act
ESVK,CA,Credit Union
FBQL,CA,Co-operative Corporation
HQKE,CA,general partnership
O90R,CA,Business corporations (which includes professional corporations)
PCO0,CA,Limited Liability Partnership
487P,CA,corporation created by an Act of the Legislature
5SGE,CA,condominium corporation
790T,CA,non-profit company
CUQF,CA,public unlimited liability corporation
E281,CA,limited partnership
HK03,CA,public limited corporation
I5NO,CA,sole proprietorship
JOGO,CA,credit union
LT1Y,CA,professional corporation
N745,CA,public company
PFPW,CA,private limited corporation
QZMH,CA,private unlimited liability corporation
W4DB,CA,private company
X6N9,CA,co-operative association
Y33B,CA,partnership
10UR,CA,Syndicat coopératif
16GH,CA,Personne morale sans but lucratif par Loi sur les cercles agricoles
16RL,CA,Personne morale sans but lucratif par Loi sur la mise en marché des produits agricoles
1VTA,CA,Personne morale sans but lucratif par Loi sur les évêques catholiques romains
27WJ,CA,Personne morale sans but lucratif par Loi sur les cités et villes
2ODA,CA,Personne morale sans but lucratif par Loi sur les sociétés agricoles et laitières
2U3G,CA,Société en nom collectif à responsabilité limitée
30IT,CA,Société par actions constitué par Loi sur les compagnies minières
3C5P,CA,Personne morale sans but lucratif par Loi sur la probation et sur les établissements de détention
3FP6,CA,Personne morale sans but lucratif par Loi sur les corporations de fonds de sécurité
4B4B,CA,Société par actions constitué par Loi sur les sociétés de patrons de fabriques de producteurs laitiers
50Z9,CA,Société par actions constitué par Loi sur les assurances
52CK,CA,Personne morale sans but lucratif par Loi sur les villes minières
6ZCO,CA,Personne morale sans but lucratif par Loi sur la formation et la qualification professionnelles de la main-d’œuvre
702U,CA,Personne morale sans but lucratif par Loi sur les Chevaliers de Colomb de la province de Québec
814Y,CA,Société en participation
87OW,CA,Personne morale sans but lucratif par Loi sur les collèges d'enseignement général et professionnel
95EN,CA,Personne morale sans but lucratif par Loi sur les services de santé et les services sociaux pour les autochtones cris
9CB2,CA,Société par actions constitué par Loi sur les syndicats d'élevage
9CEN,CA,Société par actions constitué par Loi sur les sociétés d'exploration minière
9IF2,CA,Personne morale sans but lucratif par Loi sur les associations coopératives
A7KA,CA,Selon la loi par Loi spéciale du Québec à caractère public
AS7L,CA,"Société par actions constitué par Loi sur les compagnies de gaz, d’eau et d’électricité"
CG81,CA,Personne morale sans but lucratif par Loi sur la Société d’habitation du Québec
CT3J,CA,"Personne morale sans but lucratif par Loi sur les compagnies (Partie II et Partie III), Code des professions, Loi concernant le regroupement et la gestion des commissions scolaires , Loi sur l’aménagement et l’urbanisme, Loi sur l’instruction publique, Loi sur l’organisation municipale de certains territoires, Loi sur la conservation de la faune, Loi sur la conservation et la mise en valeur de la faune, Loi sur la constitution de certaines Églises, Loi sur la Fédération des guides catholiques du Québec , Loi sur la Fédération des scouts catholiques du Québec , Loi sur la formation et la qualification professionnelles de la main-d’œuvre, Loi sur la mise en marché des produits agricoles, alimentaires et de la pêche, Loi sur la mise en marché des produits agricoles, Loi sur la probation et sur les établissements de détention, Loi sur la santé et la sécurité du travail, Loi sur la Société d’habitation du Québec, Loi sur la société Saint-Jean-Baptiste de Trois-Rivières, Loi sur la société Saint-Jean-Baptiste du Québec, Loi sur les associations coopératives, Loi sur les assurances, Loi sur les cercles agricoles, Loi sur les Chevaliers de Colomb de la province de Québec, Loi sur les cités et villes, Loi sur les clubs de chasse et de pêche, Loi sur les clubs de récréation, Loi sur les collèges d'enseignement général et professionnel, Loi sur les compagnies de cimetière, Loi sur les compagnies de cimetières catholiques romains, Loi sur les corporations de fonds de sécurité, Loi sur les corporations religieuses, Loi sur les décrets de convention collective, Loi sur les évêques catholiques romains, Loi sur les fabriques, Loi sur les services correctionnels, Loi sur les services de santé et les services sociaux pour les autochtones cris, Loi sur les services de santé et les services sociaux, Loi sur les sociétés agricoles et laitières, Loi sur les sociétés d'agriculture, Loi sur les sociétés d'horticulture, Loi sur les sociétés nationales de bienfaisance, Loi sur les syndicats professionnels, Loi sur les villages miniers, Loi sur les villages nordiques et l’Administration régionale Kativik, Loi sur les villes minières, Loi sur l'organisation territoriale municipale, Loi sur les sociétés préventives de cruauté envers les animaux"
D2T8,CA,Personne morale sans but lucratif par Loi sur les compagnies (Partie II et Partie III)
F9CT,CA,Personne morale sans but lucratif par Loi sur l’instruction publique
GAMO,CA,Personne morale sans but lucratif par Loi sur les sociétés nationales de bienfaisance
HVWR,CA,Personne morale sans but lucratif par Loi sur la constitution de certaines Églises
I3UX,CA,Personne morale sans but lucratif par Loi sur les services de santé et les services sociaux
J5SC,CA,Personne morale sans but lucratif par Loi sur la conservation et la mise en valeur de la faune
JBU2,CA,Personne morale sans but lucratif par Loi sur les clubs de chasse et de pêche
JI4V,CA,"Personne morale sans but lucratif par Loi sur la mise en marché des produits agricoles, alimentaires et de la pêche"
JLE0,CA,Personne morale sans but lucratif par Loi sur la conservation de la faune
JLZW,CA,Société par actions constitué par Loi sur les compagnies de fidéicommis
JQNA,CA,Personne morale sans but lucratif par Loi sur les sociétés préventives de cruauté envers les animaux
